,noise,layer,experiment
0,29.01307,L6,vivo
36,26.365368,L6,vivo
37,26.22095,L6,vivo
38,27.818615,L6,vivo
39,27.736015,L6,vivo
40,26.15622,L6,vivo
41,25.611761,L6,vivo
42,25.92378,L6,vivo
43,27.203587,L6,vivo
44,27.38054,L6,vivo
45,25.574717,L6,vivo
46,26.592794,L6,vivo
47,27.160938,L6,vivo
48,26.458872,L6,vivo
49,26.14438,L6,vivo
35,28.592155,L6,vivo
50,26.087307,L6,vivo
52,26.067003,L6,vivo
53,25.682312,L6,vivo
54,25.512476,L6,vivo
55,27.13343,L6,vivo
56,26.505438,L6,vivo
57,25.338076,L6,vivo
58,25.234823,L6,vivo
59,25.969912,L6,vivo
60,26.900753,L6,vivo
61,25.469343,L6,vivo
62,25.709305,L6,vivo
63,26.363987,L6,vivo
64,27.471977,L6,vivo
65,26.10785,L6,vivo
51,26.490332,L6,vivo
34,27.69428,L6,vivo
33,27.154322,L6,vivo
32,26.823774,L6,vivo
1,28.861097,L6,vivo
2,29.167656,L6,vivo
3,25.692366,L6,vivo
4,28.65488,L6,vivo
5,28.965044,L6,vivo
6,29.903091,L6,vivo
7,29.948603,L6,vivo
8,28.550797,L6,vivo
9,28.048677,L6,vivo
10,29.567898,L6,vivo
11,30.095415,L6,vivo
12,30.201044,L6,vivo
13,28.722012,L6,vivo
14,28.144835,L6,vivo
15,29.204504,L6,vivo
16,29.307968,L6,vivo
17,28.422968,L6,vivo
31,27.869125,L6,vivo
30,28.341272,L6,vivo
29,27.147312,L6,vivo
28,26.091028,L6,vivo
27,27.869038,L6,vivo
26,27.369707,L6,vivo
66,26.93205,L6,vivo
25,26.69386,L6,vivo
23,27.726177,L6,vivo
22,27.252527,L6,vivo
21,28.175163,L6,vivo
20,29.456144,L6,vivo
19,28.391062,L6,vivo
18,27.713171,L6,vivo
24,26.398823,L6,vivo
67,27.652628,L6,vivo
