,firing rate,experiment,layer
284,-1.3467874689673445,GT,L1
96,-0.21467015480458979,NS,L1
285,0.6693168876611955,GT,L1
283,-0.273001249413516,GT,L1
281,0.25927526085619285,GT,L1
282,-2.477121244203488,GT,L1
280,-2.000000009707238,GT,L1
419,-1.8750612528755255,GT,L2/3
383,-2.3010300053712194,GT,L2/3
382,-inf,GT,L2/3
381,-2.7781512398674693,GT,L2/3
380,-2.477121244203488,GT,L2/3
379,-2.477121244203488,GT,L2/3
378,-2.079181223397403,GT,L2/3
377,-1.778151227733422,GT,L2/3
421,-1.6642079015614564,GT,L2/3
376,-2.079181223397403,GT,L2/3
375,-2.1760912485395068,GT,L2/3
374,-1.6642079015614564,GT,L2/3
373,-inf,GT,L2/3
372,-1.3631779058974753,GT,L2/3
371,-1.778151227733422,GT,L2/3
370,-inf,GT,L2/3
369,-1.778151227733422,GT,L2/3
368,-0.6989699978645267,GT,L2/3
367,-2.7781512398674693,GT,L2/3
366,-2.7781512398674693,GT,L2/3
365,-2.477121244203488,GT,L2/3
364,-1.6642079015614564,GT,L2/3
363,-2.3010300053712194,GT,L2/3
362,-1.7367585822866254,GT,L2/3
361,-1.778151227733422,GT,L2/3
360,-2.7781512398674693,GT,L2/3
359,-2.7781512398674693,GT,L2/3
358,-2.7781512398674693,GT,L2/3
357,-2.477121244203488,GT,L2/3
356,-1.7367585822866254,GT,L2/3
384,-2.3010300053712194,GT,L2/3
385,-2.1760912485395068,GT,L2/3
386,-2.7781512398674693,GT,L2/3
355,-2.7781512398674693,GT,L2/3
418,-1.778151227733422,GT,L2/3
417,-1.933053208520389,GT,L2/3
416,-2.079181223397403,GT,L2/3
415,-1.0457574733033632,GT,L2/3
414,-2.477121244203488,GT,L2/3
413,-2.3010300053712194,GT,L2/3
411,-2.477121244203488,GT,L2/3
410,-1.823908750651557,GT,L2/3
409,-1.3309932171924266,GT,L2/3
408,-1.933053208520389,GT,L2/3
407,-1.778151227733422,GT,L2/3
406,-1.933053208520389,GT,L2/3
405,-1.6642079015614564,GT,L2/3
404,-2.079181223397403,GT,L2/3
420,-2.7781512398674693,GT,L2/3
403,-0.6882461427324362,GT,L2/3
401,-1.778151227733422,GT,L2/3
400,-2.3010300053712194,GT,L2/3
399,-1.3802112287686221,GT,L2/3
398,-1.698970014043257,GT,L2/3
397,-2.477121244203488,GT,L2/3
396,-1.933053208520389,GT,L2/3
395,-1.0377885514763205,GT,L2/3
394,-0.9268929056750705,GT,L2/3
