,firing rate,experiment,layer
284,0.04500000178813934,GT,L1
96,0.6100000143051147,NS,L1
285,4.670000076293945,GT,L1
283,0.5333333611488342,GT,L1
281,1.8166667222976685,GT,L1
282,0.0033333334140479565,GT,L1
280,0.009999999776482582,GT,L1
419,0.013333333656191826,GT,L2/3
383,0.004999999888241291,GT,L2/3
382,0.0,GT,L2/3
381,0.0016666667070239782,GT,L2/3
380,0.0033333334140479565,GT,L2/3
379,0.0033333334140479565,GT,L2/3
378,0.008333333767950535,GT,L2/3
377,0.01666666753590107,GT,L2/3
421,0.021666666492819786,GT,L2/3
376,0.008333333767950535,GT,L2/3
375,0.006666666828095913,GT,L2/3
374,0.021666666492819786,GT,L2/3
373,0.0,GT,L2/3
372,0.04333333298563957,GT,L2/3
371,0.01666666753590107,GT,L2/3
370,0.0,GT,L2/3
369,0.01666666753590107,GT,L2/3
368,0.20000000298023224,GT,L2/3
367,0.0016666667070239782,GT,L2/3
366,0.0016666667070239782,GT,L2/3
365,0.0033333334140479565,GT,L2/3
364,0.021666666492819786,GT,L2/3
363,0.004999999888241291,GT,L2/3
362,0.018333332613110542,GT,L2/3
361,0.01666666753590107,GT,L2/3
360,0.0016666667070239782,GT,L2/3
359,0.0016666667070239782,GT,L2/3
358,0.0016666667070239782,GT,L2/3
357,0.0033333334140479565,GT,L2/3
356,0.018333332613110542,GT,L2/3
384,0.004999999888241291,GT,L2/3
385,0.006666666828095913,GT,L2/3
386,0.0016666667070239782,GT,L2/3
355,0.0016666667070239782,GT,L2/3
418,0.01666666753590107,GT,L2/3
417,0.011666666716337204,GT,L2/3
416,0.008333333767950535,GT,L2/3
415,0.09000000357627869,GT,L2/3
414,0.0033333334140479565,GT,L2/3
413,0.004999999888241291,GT,L2/3
411,0.0033333334140479565,GT,L2/3
410,0.014999999664723873,GT,L2/3
409,0.046666666865348816,GT,L2/3
408,0.011666666716337204,GT,L2/3
407,0.01666666753590107,GT,L2/3
406,0.011666666716337204,GT,L2/3
405,0.021666666492819786,GT,L2/3
404,0.008333333767950535,GT,L2/3
420,0.0016666667070239782,GT,L2/3
403,0.20499999821186066,GT,L2/3
401,0.01666666753590107,GT,L2/3
400,0.004999999888241291,GT,L2/3
399,0.0416666679084301,GT,L2/3
398,0.019999999552965164,GT,L2/3
397,0.0033333334140479565,GT,L2/3
396,0.011666666716337204,GT,L2/3
395,0.09166666865348816,GT,L2/3
394,0.11833333224058151,GT,L2/3
393,0.07666666805744171,GT,L2/3
392,0.0,GT,L2/3
391,0.0016666667070239782,GT,L2/3
390,0.0033333334140479565,GT,L2/3
389,0.02500000037252903,GT,L2/3
388,0.04500000178813934,GT,L2/3
402,0.0416666679084301,GT,L2/3
387,0.004999999888241291,GT,L2/3
354,0.014999999664723873,GT,L2/3
422,0.014999999664723873,GT,L2/3
316,0.06333333253860474,GT,L2/3
315,0.004999999888241291,GT,L2/3
314,0.01666666753590107,GT,L2/3
313,0.0016666667070239782,GT,L2/3
312,0.07333333045244217,GT,L2/3
311,0.01666666753590107,GT,L2/3
310,0.1133333370089531,GT,L2/3
309,0.0033333334140479565,GT,L2/3
308,0.006666666828095913,GT,L2/3
307,0.02666666731238365,GT,L2/3
306,0.006666666828095913,GT,L2/3
305,0.018333332613110542,GT,L2/3
304,0.006666666828095913,GT,L2/3
303,0.013333333656191826,GT,L2/3
302,0.006666666828095913,GT,L2/3
301,0.011666666716337204,GT,L2/3
300,0.01666666753590107,GT,L2/3
286,0.02500000037252903,GT,L2/3
287,0.01666666753590107,GT,L2/3
288,0.06333333253860474,GT,L2/3
289,0.011666666716337204,GT,L2/3
290,0.04833333194255829,GT,L2/3
291,0.009999999776482582,GT,L2/3
317,0.008333333767950535,GT,L2/3
292,0.0016666667070239782,GT,L2/3
294,0.0033333334140479565,GT,L2/3
295,0.004999999888241291,GT,L2/3
296,0.019999999552965164,GT,L2/3
297,0.3866666555404663,GT,L2/3
298,0.006666666828095913,GT,L2/3
299,0.0,GT,L2/3
293,0.08166666328907013,GT,L2/3
353,0.0,GT,L2/3
318,0.021666666492819786,GT,L2/3
320,0.038333334028720856,GT,L2/3
351,0.0016666667070239782,GT,L2/3
350,0.0016666667070239782,GT,L2/3
349,0.0016666667070239782,GT,L2/3
348,0.0016666667070239782,GT,L2/3
347,0.009999999776482582,GT,L2/3
346,0.004999999888241291,GT,L2/3
345,0.0016666667070239782,GT,L2/3
344,0.014999999664723873,GT,L2/3
343,0.0,GT,L2/3
342,0.006666666828095913,GT,L2/3
341,0.0016666667070239782,GT,L2/3
340,0.07333333045244217,GT,L2/3
339,0.0016666667070239782,GT,L2/3
338,0.03500000014901161,GT,L2/3
337,0.006666666828095913,GT,L2/3
336,0.006666666828095913,GT,L2/3
335,0.006666666828095913,GT,L2/3
321,0.0,GT,L2/3
322,0.0033333334140479565,GT,L2/3
323,0.038333334028720856,GT,L2/3
324,0.17666666209697723,GT,L2/3
325,0.061666667461395264,GT,L2/3
326,0.0,GT,L2/3
319,0.0,GT,L2/3
327,0.04333333298563957,GT,L2/3
329,0.013333333656191826,GT,L2/3
330,0.0016666667070239782,GT,L2/3
331,0.008333333767950535,GT,L2/3
332,0.009999999776482582,GT,L2/3
333,0.0033333334140479565,GT,L2/3
334,0.008333333767950535,GT,L2/3
328,0.1133333370089531,GT,L2/3
352,0.07333333045244217,GT,L2/3
0,0.8033333420753479,M,L2/3
425,0.0033333334140479565,GT,L2/3
527,0.11166666448116302,GT,L2/3
526,0.03166666626930237,GT,L2/3
525,0.0016666667070239782,GT,L2/3
524,0.019999999552965164,GT,L2/3
523,0.09333333373069763,GT,L2/3
522,0.028333334252238274,GT,L2/3
521,0.01666666753590107,GT,L2/3
520,0.0716666653752327,GT,L2/3
519,0.038333334028720856,GT,L2/3
518,0.05833333358168602,GT,L2/3
517,0.0033333334140479565,GT,L2/3
516,0.04333333298563957,GT,L2/3
515,0.16333332657814026,GT,L2/3
514,0.028333334252238274,GT,L2/3
513,0.014999999664723873,GT,L2/3
512,0.05833333358168602,GT,L2/3
511,0.01666666753590107,GT,L2/3
497,1.7200000286102295,GT,L2/3
498,0.14000000059604645,GT,L2/3
